Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
29.957364215127587,80.45698828456834,77.24980120396705,78.73565404670713,23.297780039109664,12.675033616754693,1.8067696221064844,7.072701301227115,530.917094481945,Hazardous
44.302499166540244,88.44442449123851,13.851568803988462,18.300901009613085,39.033252597499164,13.685977575712913,2.120576217044345,4.278399227354987,460.70802389768255,Good
35.95630656893642,94.21591341948738,25.716644136812057,43.24334408145303,30.93735489970259,24.131586239530442,2.020839686521591,2.727435886732769,646.700806044869,Moderate
43.14731283227016,104.08386996322444,28.341733999848017,48.597801210618634,22.977862081449825,28.120068755331577,2.475811614561386,3.6209770029777513,695.0598472177583,Poor
35.00622311930245,79.1716961610981,21.231061267357163,35.461122805287694,31.998792134060146,22.61254196372726,2.1353265038087654,6.516785095431832,435.3053646089893,Hazardous
32.794793366636114,87.0911866968396,25.060355295935135,49.66565670481455,41.82072526496453,13.119617435949609,2.2519906198085917,3.789102020804968,825.5784882750055,Good
35.88027992259856,68.44194010301791,18.657072487489923,36.120093414299774,40.87885817796973,24.950434375011785,2.093861058322365,3.399982544875643,486.3612875922988,Poor
40.01060388240914,70.15604792868375,46.48695968549832,65.70021591342292,40.2472623769008,14.735610963942328,2.865374277159054,3.2466901008178777,997.6472881405987,Hazardous
26.795453462959387,71.86575497149035,5.746912056769821,24.517427201943146,39.47794143203201,10.341629172845533,1.871004049087614,5.028825255737846,753.1966217296036,Hazardous
33.04302664984404,72.55978829278338,42.471642800297865,47.68922884592082,37.79951225619868,11.21054591702526,2.0319477235152887,4.669008537615701,733.4619951194857,Moderate
40.863988053922725,87.96449775380167,44.00579780961876,57.67078177002273,27.187510013433087,14.906915243245878,1.9504277753105836,5.552848813313685,585.2612116278219,Moderate
38.87697209474288,81.46493501912875,68.18834490086778,104.51734657873632,26.920188118670627,20.458261357009306,2.148243164070325,4.5171615774548854,774.0252691927517,Moderate
37.67351496853708,63.1893097024054,34.33437842485848,59.56165786531339,42.27229203363157,20.486713392860132,2.425401139465212,5.081635036838135,551.3555761418054,Good
55.05399790817192,87.06113816209279,33.878057229222456,53.08457215759661,48.932248487002425,16.73731258509102,2.5062011111838243,4.890239777081376,748.4346114920768,Moderate
